Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library,mot_cle_trouve
21254500749,Rassemblement National,Rassemblement National,98199.0,4233,rassemblement national
103418035892552,Groupe Rassemblement National,Groupe Rassemblement National,1075.0,59,rassemblement national
164529103573433,Rassemblement National 76,Nicolas Goury,270.0,5,rassemblement national
106454662155648,Rassemblement National pour Amnéville-Malancourt,Rassemblement pour Amnéville-Malancourt,182.0,14,rassemblement national
247522811982633,Rassemblement National 62,Rassemblement National 62,148.0,1,rassemblement national
1410259935872953,Rassemblement National Dunkerque Flandre Maritime,These ads ran without a disclaimer,131.0,1,rassemblement national
1453947328007819,Rassemblement National Les Pennes Mirabeau,Maximilien Fusone,114.0,5,rassemblement national
107081854161145,Rassemblement National Lot et Garonne,Rassemblement National Lot et Garonne,105.0,20,rassemblement national
123316887684644,Marine Le Pen,Rassemblement National,17815.0,317,le pen
123316887684644,Marine Le Pen,AFE MLP 2022,6618.0,39,le pen
123316887684644,Marine Le Pen,AFE MLP 2022,6239.0,108,le pen
123316887684644,Marine Le Pen,These ads ran without a disclaimer,1434.0,1,le pen
123316887684644,Marine Le Pen,Marine Le Pen,200.0,6,le pen
1598764970362891,Jordan Bardella,Jordan Bardella,86012.0,268,jordan bardella
1598764970362891,Jordan Bardella,Rassemblement National,11196.0,446,jordan bardella
196429080701483,Jérôme Rivière,Jérôme Rivière,13991.0,72,jérôme rivière
1536553206605391,Jean-Lin Lacapelle,Jean-Lin Lacapelle,17880.0,373,jean-lin lacapelle
1536553206605391,Jean-Lin Lacapelle,Alexandra Branlant,197.0,2,jean-lin lacapelle
361243920982960,Virginie Joron,Virginie Joron,4904.0,11,virginie joron
361243920982960,Virginie Joron,VIRGINIE JORON,1250.0,7,virginie joron
1030606370307693,Julie Lechanteux,Julie Lechanteux,5599.0,25,julie lechanteux
1030606370307693,Julie Lechanteux,JULIE LECHANTEUX,150.0,1,julie lechanteux
1828719080762024,Hélène Laporte,Hélène Laporte,6030.0,93,hélène laporte
120292721389667,Philippe Vardon,Philippe Vardon,3134.0,36,philippe vardon
140870836830216,Catherine Griset,Catherine Griset,2880.0,7,catherine griset
115640363205428,Mathilde Androuët,Mathilde Androuët,19221.0,208,mathilde androuët
426781830675670,Julien Leonardelli,Julien Leonardelli,6198.0,71,julien leonardelli
426781830675670,Julien Leonardelli,These ads ran without a disclaimer,589.0,7,julien leonardelli
106206114122000,Philippe Olivier,Parlement européen,1315.0,3,philippe olivier
106206114122000,Philippe Olivier,These ads ran without a disclaimer,174.0,1,philippe olivier
579176352189689,Gilles Lebreton,Gilles Lebreton,615.0,2,gilles lebreton
103477098595090,Stéphane Blanchon,Stéphane Georges Blanchon,599.0,7,stéphane blanchon
2374691942752321,Fondation Identité et Démocratie,FONDATION IDENTITÉ ET DÉMOCRATIE,300.0,3,identité et démocratie
373771849427538,Nicolas Bay,Nicolas Bay,7932.0,13,nicolas bay
72002497258,Thierry Mariani,Thierry Mariani,1625.0,62,thierry mariani
583567895486828,Nicolas Meizonnet,Nicolas Meizonnet,2626.0,47,nicolas meizonnet
583567895486828,Nicolas Meizonnet,Nicolas Meizonnet Jerome Gregoire,130.0,2,nicolas meizonnet
400338823633387,Edwige Diaz,These ads ran without a disclaimer,109.0,3,edwige diaz
400338823633387,Edwige Diaz,Edwige Diaz,105.0,5,edwige diaz
270412033420515,Julien ODOUL,Julien Odoul,569.0,6,julien odoul
270412033420515,Julien ODOUL,These ads ran without a disclaimer,102.0,2,julien odoul
1592981437581080,Laurent Jacobelli,Laurent Jacobelli,2979.0,117,laurent jacobelli
1419578774729523,Sébastien Chenu,Sébastien Chenu,180.0,3,sébastien chenu
473552050066558,Lens Bleu Marine,Brunio Bernard Jacques Costa-Clavet,215.0,8,bleu marine
